name,tag,symbol,currency,status
SwagBucks,swagbucks,BUCKS,USD,available
Streamity,streamity,STM,USD,available
Cryptonite,cryptonite,XCN,USD,available
Swap,swap,XWP,USD,available
Fortuna,fortuna,FOTA,USD,available
SHIELD,shield-xsh,XSH,USD,available
GoByte,gobyte,GBX,USD,available
Netko,netko,NETKO,USD,available
InsaneCoin,insanecoin-insn,INSN,USD,available
EncryptoTel [WAVES],encryptotel,ETT,USD,available
Swing,swing,SWING,USD,available
Digitalcoin,digitalcoin,DGC,USD,available
WayGuide,wayguide,WAY,USD,available
Energycoin,energycoin,ENRG,USD,available
NANJCOIN,nanjcoin,NANJ,USD,available
ION,ion,ION,USD,available
Swarm City,swarm-city,SWT,USD,available
Bitstar,bitstar,BITS,USD,available
Graft,graft,GRFT,USD,available
Starbase,starbase,STAR,USD,available
OracleChain,oraclechain,OCT,USD,available
Terracoin,terracoin,TRC,USD,available
BlueCoin,bluecoin,BLU,USD,available
InvestFeed,investfeed,IFT,USD,available
Aston,aston,ATX,USD,available
Aeron,aeron,ARNX,USD,available
Ellaism,ellaism,ELLA,USD,available
BitTokens,bittokens,BXT,USD,available
iEthereum,iethereum,IETH,USD,available
CryptoCarbon,cryptocarbon,CCRB,USD,available
2GIVE,2give,2GIVE,USD,available
Happycoin,happycoin,HPC,USD,available
Silverway,silverway,SLV,USD,available
SafeInsure,safeinsure,SINS,USD,available
GCN Coin,gcn-coin,GCN,USD,available
WMCoin,wmcoin,WMC,USD,available
Quantis Network,quantis,QUAN,USD,available
SproutsExtreme,sproutsextreme,SPEX,USD,available
DopeCoin,dopecoin,DOPE,USD,available
Aigang,aigang,AIX,USD,available
IslaCoin,islacoin,ISL,USD,available
Hackspace Capital,hackspace-capital,HAC,USD,available
Jetcoin,jetcoin,JET,USD,available
Kobocoin,kobocoin,KOBO,USD,available
Silent Notary,silent-notary,SNTR,USD,available
MicroMoney,micromoney,AMM,USD,available
TagCoin,tagcoin,TAG,USD,available
Coin Lion,coin-lion,LION,USD,available
Pirl,pirl,PIRL,USD,available
Chronologic,chronologic,DAY,USD,available
Cobinhood,cobinhood,COB,USD,available
Tattoocoin (Standard Edition),tattoocoin,TSE,USD,available
Cryptojacks,cryptojacks,CJ,USD,available
Photon,photon,PHO,USD,available
Motocoin,motocoin,MOTO,USD,available
